Año,Trimestre,Provincia,Accesos por cada 100 hogares,Accesos trimestre anterior,KPI
2017,3,La Pampa,69.1399370114264,63.49,8.89
2017,4,La Pampa,71.0497610637856,69.14,2.76
2018,1,La Pampa,71.751636922758,71.05,0.99
2018,2,La Pampa,71.0403378727806,71.75,-0.99
2018,3,La Pampa,71.7502365184484,71.04,1.0
2018,4,La Pampa,73.4940482831421,71.75,2.43
2019,1,La Pampa,76.3545743378065,73.49,3.89
2019,2,La Pampa,77.083137502884,76.35,0.95
2019,3,La Pampa,77.4526942329175,77.08,0.48
2019,4,La Pampa,76.9241896917042,77.45,-0.68
2020,1,La Pampa,75.766787812914,76.92,-1.5
2020,2,La Pampa,76.1015828898756,75.77,0.44
2020,3,La Pampa,79.2644770667028,76.1,4.16
2020,4,La Pampa,81.7679324894515,79.26,3.16
2021,1,La Pampa,81.7767634575221,81.77,0.01
2021,2,La Pampa,82.080006723254,81.78,0.37
2021,3,La Pampa,84.2799630965361,82.08,2.68
2021,4,La Pampa,89.5673427024131,84.28,6.27
2022,1,La Pampa,91.6633253140871,89.57,2.34
2022,2,La Pampa,92.98,91.66,1.44
2022,3,La Pampa,96.59,92.98,3.88
2022,4,La Pampa,94.8,96.59,-1.85
2023,1,La Pampa,96.55,94.8,1.85
2023,2,La Pampa,98.35,96.55,1.86
2023,3,La Pampa,99.0,98.35,0.66
2023,4,La Pampa,99.96,99.0,0.97
2024,1,La Pampa,100.49,99.96,0.53
2024,2,La Pampa,101.17,100.49,0.68
2014,1,La Rioja,16.2941048158375,,0.0
2014,2,La Rioja,16.5025648163457,16.29,1.28
2014,3,La Rioja,16.5067132740672,16.5,0.03
2014,4,La Rioja,17.0107508872361,16.51,3.05
2015,1,La Rioja,16.7032017874138,17.01,-1.81
2015,2,La Rioja,16.8831909819638,16.7,1.08
2015,3,La Rioja,17.1511294420325,16.88,1.59
2015,4,La Rioja,17.3157786484107,17.15,0.96
2016,1,La Rioja,16.8335183724942,17.32,-2.79
2016,2,La Rioja,16.8789026111115,16.83,0.27
2016,3,La Rioja,17.0745591064841,16.88,1.16
2016,4,La Rioja,16.4553163840162,17.07,-3.63
2017,1,La Rioja,16.1955241460542,16.46,-1.58
2017,2,La Rioja,16.2034458061436,16.2,0.05
2017,3,La Rioja,51.465252304947,16.2,217.62
2017,4,La Rioja,51.5684744054618,51.47,0.2
2018,1,La Rioja,51.4435101124481,51.57,-0.24
2018,2,La Rioja,50.9778907392324,51.44,-0.91
2018,3,La Rioja,50.7330431805956,50.98,-0.48
2018,4,La Rioja,50.3479939174172,50.73,-0.76
2019,1,La Rioja,50.1845878832627,50.35,-0.32
2019,2,La Rioja,48.7049391442432,50.18,-2.95
2019,3,La Rioja,47.9429051217464,48.7,-1.56
2019,4,La Rioja,47.1358901105243,47.94,-1.68
2020,1,La Rioja,46.346631384167,47.14,-1.67
2020,2,La Rioja,49.8399350183955,46.35,7.54
2020,3,La Rioja,50.1181132363027,49.84,0.56
2020,4,La Rioja,50.1106121170115,50.12,-0.01
2021,1,La Rioja,49.8069351907935,50.11,-0.61
2021,2,La Rioja,76.9786615851933,49.81,54.55
2021,3,La Rioja,77.2601606138685,76.98,0.37
2021,4,La Rioja,77.9234900964576,77.26,0.86
2022,1,La Rioja,78.774598665645,77.92,1.09
2022,2,La Rioja,80.14,78.77,1.73
2022,3,La Rioja,80.66,80.14,0.65
2022,4,La Rioja,79.86,80.66,-0.99
2023,1,La Rioja,79.74,79.86,-0.15
2023,2,La Rioja,80.01,79.74,0.34
2023,3,La Rioja,80.44,80.01,0.54
2023,4,La Rioja,80.22,80.44,-0.27
2024,1,La Rioja,80.03,80.22,-0.24
2024,2,La Rioja,79.52,80.03,-0.64
2014,1,Mendoza,31.9131229866058,,0.0
2014,2,Mendoza,32.0982381502412,31.91,0.58
2014,3,Mendoza,32.3131795616557,32.1,0.67
2014,4,Mendoza,32.6383818761503,32.31,1.01
2015,1,Mendoza,32.3658875605183,32.64,-0.83
2015,2,Mendoza,32.4919958318665,32.37,0.39
2015,3,Mendoza,32.4919958318665,32.49,0.0
2015,4,Mendoza,32.4889524950014,32.49,-0.01
2016,1,Mendoza,32.1233388880128,32.49,-1.13
2016,2,Mendoza,32.1259717944259,32.12,0.01
2016,3,Mendoza,32.0883588456665,32.13,-0.12
2016,4,Mendoza,32.10735338479,32.09,0.06
2017,1,Mendoza,31.8430127701797,32.11,-0.82
2017,2,Mendoza,31.7586053613908,31.84,-0.27
2017,3,Mendoza,35.7049317772057,31.76,12.43
2017,4,Mendoza,33.3256255341505,35.7,-6.66
